Quick Sell Value,Name,Position(s),Rating,Nation,Club,League,Pace,Shooting,Passing,Dribbling,Defending,Physical,Age,Height,Weight,Foot,Attack WR,Defend WR,Weak Foot,Skill Moves,Real Face,Card,Date Of Birth,Acceleration,Sprint Speed,Att. Position,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,FK Acc.,Short Pass,Long Pass,Curve,Agility,Balance,Reactions,Ball Control,Dribbling,Composure,Interceptions,Heading Acc.,Def. Aware,Stand Tackle,Slide Tackle,Jumping,Stamina,Strength,Aggression,CM Release Clause,CM Wage,CM Value,CM Role
,Jay-Jay Okocha,RM,85,Nigeria,Icons,Icons,88,80,79,92,37,59,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clarence Seedorf,CM,85,Netherlands,Icons,Icons,83,81,84,84,71,83,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rio Ferdinand,CB,85,England,Icons,Icons,84,48,65,70,84,83,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jens Lehmann,GK,85,Germany,Icons,Icons,87,83,80,87,60,83,,,,,----------------------,----------------------,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marcelo,LB,85,Brazil,Real Madrid,La Liga Santander,81,74,83,89,77,79,,,,,,,4,5,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gianluigi Donnarumma,GK,85,Italy,Milan,Serie A,90,80,74,90,49,80,,,,,----------------------,----------------------,3,1,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,James Rodriguez,CAM,85,Colombia,Real Madrid,La Liga Santander,55,86,87,86,50,63,,,,,,,2,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Frenkie De Jong,CM,85,Netherlands,FC Barcelona,La Liga Santander,79,64,84,88,76,76,,"5'11""",,Right,Medium,High,3,4,12/05/1997,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Raphael Varane,CB,85,France,Real Madrid,La Liga Santander,83,45,62,64,85,80,,,,,,,3,2,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Axel Witsel,CDM,85,Belgium,Dortmund,Bundesliga,73,74,80,80,83,81,,,,,,,4,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ronald Koeman,CB,85,Netherlands,Icons,Icons,67,84,87,76,86,82,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alex Sandro,LB,85,Brazil,Piemonte Calcio,Serie A,83,65,77,80,82,82,,,,,,,3,3,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gareth Bale,RW,85,Wales,Real Madrid,La Liga Santander ,91,87,82,82,58,76,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fabinho,CDM,85,Brazil,Liverpool,EPL,68,69,78,77,85,83,,,,,,,2,3,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kostas Manolas,CB,85,Greece,Napoli,Serie A,82,25,42,62,86,81,,,,,,,2,2,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Andy Robertson,LB,85,Scotland,Liverpool,EPL,85,62,77,79,80,75,,,,,,,2,3,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Josep Guardiola,CDM,85,Spain,Icons,Icons,75,65,82,76,85,77,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Michael Essien,CDM,85,Ghana,Icons,Icons,83,72,75,78,85,87,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ian Wright,ST,85,England,Icons,Icons,91,86,66,79,40,74,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zlatan Ibrahimovic,ST,85,Sweden,LA Galaxy,MLS,56,88,77,78,34,78,,,,,,,4,5,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bruno Fernandes,CAM,85,Portugal,Sporting CP,Liga NOS,77,83,87,85,65,74,,,,,,,4,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Saul ,CM,85,Spain,Atletico Madrid,La Liga Santander,70,78,79,81,78,78,,,,,,,4,3,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hakim Ziyech,CAM,85,Morocco,Ajax,Eredivisie,80,75,86,83,50,66,,,,,,,2,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Allan Marques Loureiro,CM,85,Brazil,Napoli,Serie A,75,71,78,84,85,84,,"5'9""",,Right,Medium,High,3,4,,Rare Gold,08/01/1991,79,71,79,74,73,69,56,53,80,70,49,86,79,65,82,86,89,84,84,85,89,59,88,88,86,69,94,79,90,,,,
,Rodri,CDM,85,Spain,Manchester City,EPL,67,68,77,78,82,80,,,,,,,4,3,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sergej Milinkovic-Savic,CM,85,Serbia,Lazio,Serie A,67,79,80,82,77,84,,,,,,,4,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jose Maria Gimenez,CB,85,Uruguay,Atletico Madrid,La Liga Santander,69,45,52,56,86,82,,,,,,,3,2,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Koke,RM,85,Spain,Atletico Madrid,La Liga Santander,68,75,86,82,74,79,,,,,,,4,3,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mauro Icardi,ST,85,Argentina,Paris,Ligue 1,75,84,61,77,36,69,,,,,,,4,3,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dani Carvajal,RB,85,Spain,Real Madrid,La Liga Santander,81,47,78,81,82,80,,,,,,,3,3,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,David Alaba,LB,85,Austria,FC Bayern,Bundesliga,83,73,81,80,80,76,,,,,,,4,3,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blaise Matuidi,CDM,85,France,Piemonte Calcio,Serie A,75,66,76,78,83,81,,,,,,,2,2,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Romelu Lukaku,ST,85,Belgium,Inter,Serie A,75,82,73,72,35,84,,"6'3""",,Left,Medium,Medium,4,3,,Rare Gold,13/05/1993,64,84,86,84,87,74,77,78,73,72,66,75,71,78,55,46,84,70,78,81,27,85,30,30,30,71,75,95,71,,,,
680,Alejandro Gomez,CAM,85,Argentina,Atalanta,Serie A,89,78,81,86,39,55,,,,,,,4,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Niklas Sule,CB,85,Germany,FC Bayern,Bundesliga,72,42,55,51,86,82,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Matthijs De Ligt,CB,85,Netherlands,Piemonte Calcio,Serie A,67,58,66,69,83,84,,,,,,,4,2,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Iago Aspas,ST,85,Spain,RC Celta,La Liga Santander,78,84,77,85,35,64,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Laurnet Blanc,CAM,85,France,Icons,Icons,83,82,75,84,79,78,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sol Campbell,CB,85,England,Icons,Icons,84,43,56,56,85,85,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gheorghe Hagi,CAM,85,Romania,Icons,Icons,86,84,85,87,37,63,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Michael Laudrup,CF,85,Denmark,Icons,Icons,87,74,84,89,35,63,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rui Costa,CAM,85,Portugal,Icons,Icons,84,76,84,83,42,75,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deco,CAM,85,Portugal,Icons,Icons,78,78,87,85,45,65,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Claude Makelele,RM,85,France,Icons,Icons,86,64,80,82,70,80,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jari Litmanen,CF,85,Finland,Icons,Icons,76,85,84,80,33,61,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emmanuel Petit,LB,85,France,Icons,Icons,80,73,80,78,86,83,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Robert Pires,CAM,85,France,Icons,Icons,72,80,86,82,44,66,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gennaro Gattuso,CM,85,Italy,Icons,Icons,73,66,76,74,90,88,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hidetoshi Nakata,CAM,85,Japan,Icons,Icons,84,80,84,85,60,64,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gonzalo Higuain,ST,85,Argentina,Piemonte Calcio,Serie A,63,85,71,80,31,71,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clement Lenglet,CB,85,France,FC Barcelona,La Liga Santander,75,45,68,66,86,80,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Neto,GK,85,Brazil,FC Barcelona,La Liga Santander,86,81,79,82,54,82,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roman Burki,GK,85,Switzerland,Dortmund,Bundesliga,86,80,74,89,48,83,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Péter Gulácsi,GK,85,Hungary,RB Leipzig,Bundesliga,84,86,81,86,43,84,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anthony Lopes,GK,85,Portugal,OL,Ligue 1,87,80,75,89,63,84,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ruffier,GK,84,France,ASSE,Ligue 1,82,84,75,82,47,85,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sokratis,CB,84,Greece,Arsenal,EPL,72,51,52,61,84,83,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nabil Fekir,CAM,84,France,Real Betis,La Liga Santander,78,82,81,88,33,77,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Felipe Anderson,LM,84,Brazil,West Ham,EPL,,,,,,,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Memphis Depay,CF,84,Netherlands,OL,Ligue 1,,,,,,,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,Mario Mandzukic,ST,84,Croatia,Piemonte Calcio,Serie A,68,80,71,76,65,86,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Riyad Mahrez,RW,84,Algeria,Manchester City,EPL,84,78,79,89,38,59,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jadon Sancho,RM,84,England,Dortmund,Bundesliga,88,72,77,90,36,60,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lucas Leiva,CDM,84,Brazil,Lazio,Serie A,62,66,78,78,83,73,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ilkay Gundogan,CM,84,Germany,Manchester City,EPL,66,74,84,84,72,71,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Joao Moutinho,CM,84,Portugal,Wolves,EPL,56,75,85,82,71,67,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Joao Cancelo,RB,84,Portugal,Manchester City,EPL,90,65,80,84,78,71,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kyle Walker,RB,84,England,Manchester City,EPL,91,63,76,77,81,81,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alex Telles,LB,84,Brazil,FC Porto,Liga NOS,,,,,,,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pizzi,RM,84,Portugal,SL Benfica,Liga NOS,77,77,84,81,63,68,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mesut Ozil,CAM,84,Germany,Arsenal,EPL,70,72,86,84,24,56,,,,,,,,,,Rare Gold,,72,69,81,73,70,69,80,67,90,83,76,89,82,84,77,71,83,89,84,83,24,51,,,,45,67,56,44,,,,
,Jose Callejon,RM,84,Spain,Napoli,Serie A,89,78,75,83,47,64,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Visca,RM,84,Bosnia & Herzegovina,Basaksehir,Super Lig,88,79,79,84,47,64,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Georgino Wijnaldum,CM,84,Netherlands,Liverpool,EPL,77,73,78,85,76,78,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arthur Melo,CM,84,Brazil,FC Barcelona,La Liga Santander,69,71,81,86,73,70,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pepe,CB,84,Portugal,FC Porto,Liga NOS,67,51,57,61,85,85,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kingsley Coman,LM,84,France,FC Bayern,Bundesliga,92,76,77,86,29,60,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cesar Azpiliqueta,RB,84,Spain,Chelsea,EPL,70,55,77,73,85,76,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Luis Alberto,CAM,84,Spain,Lazio,Serie A,71,76,84,85,49,59,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Edin Dzeko,ST,84,Bosnia & Herzegovina,Roma,Serie A,60,84,71,75,46,73,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lucas Hernandez,CB,84,France,FC Bayern,Bundesliga,81,54,70,71,83,82,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Salvatore Sirigu,GK,84,Italy,Torino,Serie A,84,80,76,82,50,84,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arturo Vidal,CM,84,Chile,FC Barcelona,La Liga Santander,67,79,80,79,85,86,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ivan Perisic,LM,84,Croatia,FC Bayern,Bundesliga,84,80,78,82,62,77,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ousmanne Dembele,RW,84,France,FC Barcelona,La Liga Santander,93,79,80,87,36,57,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Julian Brandt,CAM,84,Germany,Dortmund,Bundesliga,82,78,81,85,40,68,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De Vrij ,CB,84,Netherlands,Inter,Serie A,66,41,62,68,84,74,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dusan Tadic,CAM,84,Serbia,Ajax,Eredivisie,68,80,84,85,41,71,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Felipe,CB,84,Brazil,Atletico Madrid,La Liga Santander,64,41,57,61,84,87,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paulinho,CM,84,Brazil,,CSL,72,81,77,80,78,85,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Canales,CAM,84,Spain,Real Betis,La Liga Santander,78,79,83,81,51,66,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kai Havertz,CAM,84,Germany,Leverkusen,Bundesliga,84,78,79,84,44,65,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Douglas Costa,LM,84,Brazil,Piemonte Calcio,Serie A,94,73,79,91,43,61,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gnabry,RM,84,Germany,FC Bayern,Bundesliga,90,82,75,85,43,69,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sommer,GK,84,Switzerland,M'Gladbach,Bundesliga,79,85,81,87,50,80,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pablo Sarabia,CAM,83,Spain,Paris,Ligue 1,75,76,82,84,57,57,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aranguiz,CM,83,Chile,Leverkusen,Bundesliga,63,72,82,81,74,73,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Romagnoli,CB,83,Italy,Milan,Serie A,63,40,55,67,85,79,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yannick Carrasco,LM,83,Belgium,,CSL,90,80,75,86,39,64,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Corentin Tolisso,CM,83,France,FC Bayern,Bundesliga,69,77,79,78,76,79,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Idrissa Gana Gueye,CDM,83,Ghana,Paris,Ligue 1,73,59,70,78,85,78,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jonathan Tah,CB,83,Germany,Leverkusen,Bundesliga,71,27,59,58,83,81,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Casteels,GK,83,Belgium,Wolfsburg,Bundesliga,83,79,79,83,44,82,,,,,----------------------,----------------------,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paul Lopez,GK,83,Spain,Roma,Serie A,82,83,79,84,45,82,,,,,----------------------,----------------------,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trent Alexander-Arnold,RB,83,England,Liverpool,EPL,80,62,82,78,78,70,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,John Stones,CB,83,England,Manchester City,EPL,68,36,70,72,84,77,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Juan Cuadrado,RM,83,Colombia,Piemonte Calcio,Serie A,91,72,77,87,66,67,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Goncalo Guedes,LM,83,Portugal,Valencia,La Liga Santander,90,79,76,83,36,70,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ever Banega,CAM,83,Argentina,Sevilla,La Liga Santander,61,73,84,82,77,70,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nicolas Pepe,RM,83,Ivory Coast,Arsenal,EPL,91,81,75,85,33,67,,"6'0""",,Left,High,Low,3,4,,Rare Gold,29/05/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Luka Jovic,ST,83,Serbia,Real Madrid,La Liga Santander,77,82,68,81,29,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sebastian Haller,ST,83,France,West Ham,EPL,72,81,62,76,51,82,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Julian Draxler,CAM,83,Germany,Paris,Ligue 1,77,79,81,86,55,63,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jorginho,CM,83,Italy,Chelsea,EPL,55,63,84,81,70,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davinson Sanchez,CB,83,Colombia,Spurs,EPL,74,45,56,67,83,81,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alvaro Morata,ST,83,Spain,Atletico Madrid,La Liga Santander,80,79,71,79,31,72,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thomas Lemar,LM,83,France,Atletico Madrid,La Liga Santander,83,76,82,85,59,67,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasper Cillessen,GK,83,Netherlands,Valencia,La Liga Santander,82,83,78,83,52,81,,,,,----------------------,----------------------,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Radamel Falcao,ST,83,Colombia,Galatasaray,Super Lig,65,82,69,77,43,72,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aaron Ramsey,CM,83,Wales,Piemonte Calcio,Serie A,68,77,79,80,68,74,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gianluigi Buffon,GK,83,Italy,Piemonte Calcio,Serie A,78,77,74,80,34,91,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carlos Vela,RW,83,Mexico,LA FC,MLS,80,82,78,84,31,67,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thauvin,RW,83,France,OM,Ligue 1,83,80,81,83,41,69,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kasper Schmeichel,GK,83,Denmark,Leicester City,EPL,82,77,79,88,58,79,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rune Jarstein,GK,83,Norway,Hertha BSC,Bundesliga,79,82,76,84,42,86,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hradecky,GK,83,Finland,Leverkusen,Bundesliga,85,79,69,86,40,82,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acerbi,CB,83,Italy,Lazio,Serie A,56,50,61,64,86,82,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fabian,CM,83,Spain,Napoli,Serie A,65,78,78,82,74,69,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Iker Casillas,GK,83,Spain,FC Porto,Liga NOS,85,75,61,84,56,86,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,William Carvalho,CDM,83,Portugal,Real Betis,La Liga Santander,,,,,,,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Andreas Iniesta,CM,83,Spain,Vissel Kobe,J-League,64,70,86,87,62,60,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Radja Nainggolan,CAM,83,Belgium,Cagliari,Serie A,72,79,78,83,83,82,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paco Alcacer,ST,83,Spain,Dortmund,Bundesliga,79,84,68,81,36,63,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diego Costa,ST,83,Spain,Atletico Madrid,La Liga Santander,73,82,64,76,49,85,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oscar,CAM,83,Brazil,,CSL,74,76,83,81,55,50,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kruse,CF,83,Germany,Fenerbahce,Super Lig,66,83,83,83,45,70,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marco Asensio,LW,83,Spain,Real Madrid,La Liga Santander,81,80,82,84,43,62,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Milik,ST,83,Poland,Napoli,Serie A,69,85,64,76,39,74,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sigurdsson,CAM,83,Iceland,Everton,EPL,56,81,84,81,57,69,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nicolas Otamendi,CB,83,Argentina,Manchester City,EPL,56,57,63,61,83,78,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sami Khedira,CM,83,Germany,Piemonte Calcio,Serie A,51,74,78,78,80,80,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adrien Rabiot,CM,83,France,Piemonte Calcio,Serie A,73,74,79,81,77,80,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marc Bartra,CB,83,Spain,Real Betis,La Liga Santander,73,61,73,73,82,74,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jordan Henderson,CDM,83,England,Liverpool,EPL,64,70,83,77,78,80,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wissam Ben Yedder,ST,83,France,AS Monaco,Ligue 1,84,82,77,85,39,61,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
